phage_id,host_species,split
NC_028687,Mycolicibacterium_smegmatis,test
NC_028688,Klebsiella_pneumoniae,test
NC_028693,Enterococcus_faecalis,test
NC_028694,Cutibacterium_acnes,test
NC_028695,Klebsiella_aerogenes,test
NC_028696,Salmonella_enterica,test
NC_028697,Streptococcus_pyogenes,test
NC_028698,Salmonella_enterica,test
NC_028699,Salmonella_enterica,test
NC_028700,Streptococcus_pyogenes,test
NC_028701,Salmonella_enterica,test
NC_028742,Mycolicibacterium_smegmatis,test
NC_028743,Mannheimia_haemolytica,test
NC_028744,Mycolicibacterium_smegmatis,test
NC_028746,Paenibacillus_larvae,test
NC_028747,Mycolicibacterium_smegmatis,test
NC_028748,Bacillus_thuringiensis,test
NC_028749,Brevibacillus_laterosporus,test
NC_028751,Mycolicibacterium_smegmatis,test
NC_028754,Salmonella_enterica,test
NC_028758,Paenibacillus_larvae,test
NC_028759,Mycolicibacterium_smegmatis,test
NC_028760,Klebsiella_pneumoniae,test
NC_028762,Proteus_mirabilis,test
NC_028764,Clostridioides_difficile,test
NC_028766,Mannheimia_haemolytica,test
NC_028767,Paenibacillus_larvae,test
NC_028768,Achromobacter_xylosoxidans,test
NC_028770,Pseudomonas_aeruginosa,test
NC_028772,Klebsiella_aerogenes,test
NC_028773,Cronobacter_sakazakii,test
NC_028774,Klebsiella_pneumoniae,test
NC_028775,Staphylococcus_aureus,test
NC_028776,Escherichia_coli,test
NC_028777,Priestia_megaterium,test
NC_028778,Mycolicibacterium_smegmatis,test
NC_028779,Mycolicibacterium_smegmatis,test
NC_028782,Priestia_megaterium,test
NC_028783,Lacticaseibacillus_paracasei,test
NC_028784,Mycolicibacterium_smegmatis,test
NC_028785,Mycolicibacterium_smegmatis,test
NC_028786,Klebsiella_pneumoniae,test
NC_028788,Paenibacillus_larvae,test
NC_028789,Bacillus_cereus,test
NC_028791,Mycolicibacterium_smegmatis,test
NC_028792,Mycolicibacterium_smegmatis,test
NC_028794,Mycolicibacterium_smegmatis,test
NC_028795,Enterobacter_cloacae,test
NC_028796,Mycolicibacterium_smegmatis,test
NC_028798,Mycolicibacterium_smegmatis,test
NC_028799,Vibrio_cholerae,test
NC_028800,Klebsiella_pneumoniae,test
NC_028804,Mycolicibacterium_smegmatis,test
NC_028805,Brevibacillus_laterosporus,test
NC_028807,Streptomyces_flavovirens,test
NC_028808,Escherichia_coli,test
NC_028809,Pseudomonas_aeruginosa,test
NC_028810,Mycolicibacterium_smegmatis,test
NC_028812,Proteus_mirabilis,test
NC_028813,Mycolicibacterium_smegmatis,test
NC_028815,Mycolicibacterium_smegmatis,test
NC_028816,Klebsiella_pneumoniae,test
NC_028818,Streptomyces_griseus,test
NC_028819,Pseudoalteromonas_marina,test
NC_028820,Yersinia_enterocolitica,test
NC_028821,Staphylococcus_epidermidis,test
NC_028822,Escherichia_coli,test
NC_028823,Mycolicibacterium_smegmatis,test
NC_028825,Escherichia_coli,test
NC_028826,Enterococcus_faecium,test
NC_028827,Streptomyces_venezuelae,test
NC_028828,Mycolicibacterium_smegmatis,test
NC_028830,Lacticaseibacillus_paracasei,test
NC_028831,Escherichia_coli,test
NC_028832,Mycolicibacterium_smegmatis,test
NC_028834,Achromobacter_xylosoxidans,test
NC_028835,Lacticaseibacillus_paracasei,test
NC_028836,Pseudomonas_aeruginosa,test
NC_028837,Paenibacillus_larvae,test
NC_028838,Clostridioides_difficile,test
NC_028841,Paenibacillus_larvae,test
NC_028842,Mycolicibacterium_smegmatis,test
NC_028843,Mycolicibacterium_smegmatis,test
NC_028844,Mycolicibacterium_smegmatis,test
NC_028846,Mycolicibacterium_smegmatis,test
NC_028848,Acinetobacter_baumannii,test
NC_028849,Mycolicibacterium_smegmatis,test
NC_028850,Yersinia_enterocolitica,test
NC_028851,Paenibacillus_larvae,test
NC_028852,Mycolicibacterium_smegmatis,test
NC_028853,Mannheimia_haemolytica,test
NC_028854,Paenibacillus_larvae,test
NC_028856,Priestia_megaterium,test
NC_028857,Citrobacter_freundii,test
NC_028859,Staphylococcus_aureus,test
NC_028860,Mycolicibacterium_smegmatis,test
NC_028861,Mycolicibacterium_smegmatis,test
NC_028862,Staphylococcus_aureus,test
NC_028863,Escherichia_coli,test
NC_028870,Klebsiella_pneumoniae,test
NC_028871,Listeria_monocytogenes,test
NC_028874,Mycolicibacterium_smegmatis,test
NC_028876,Mycolicibacterium_smegmatis,test
NC_028877,Mycolicibacterium_smegmatis,test
NC_028878,Mycolicibacterium_smegmatis,test
NC_028879,Pseudomonas_aeruginosa,test
NC_028880,Citrobacter_freundii,test
NC_028881,Escherichia_coli,test
NC_028883,Clostridioides_difficile,test
NC_028885,Pseudomonas_aeruginosa,test
NC_028886,Bacillus_thuringiensis,test
NC_028887,Bacillus_thuringiensis,test
NC_028888,Lacticaseibacillus_paracasei,test
NC_028889,Mycolicibacterium_smegmatis,test
NC_028890,Bacillus_thuringiensis,test
NC_028892,Streptomyces_griseus,test
NC_028894,Escherichia_coli,test
NC_028895,Vibrio_cholerae,test
NC_028896,Escherichia_coli,test
NC_028897,Mycolicibacterium_smegmatis,test
NC_028898,Mannheimia_haemolytica,test
NC_028899,Ralstonia_solanacearum,test
NC_028900,Lactococcus_lactis,test
NC_028901,Escherichia_coli,test
NC_028903,Escherichia_coli,test
NC_028904,Streptomyces_venezuelae,test
NC_028905,Clostridioides_difficile,test
NC_028906,Mycolicibacterium_smegmatis,test
NC_028908,Achromobacter_xylosoxidans,test
NC_028910,Mycolicibacterium_smegmatis,test
NC_028911,Lacticaseibacillus_paracasei,test
NC_028912,Mycolicibacterium_smegmatis,test
NC_028914,Mycolicibacterium_smegmatis,test
NC_028915,Staphylococcus_aureus,test
NC_028916,Proteus_mirabilis,test
NC_028917,Staphylococcus_aureus,test
NC_028920,Mycolicibacterium_smegmatis,test
NC_028922,Mycolicibacterium_smegmatis,test
NC_028925,Escherichia_coli,test
NC_028926,Priestia_megaterium,test
NC_028928,Mycolicibacterium_smegmatis,test
NC_028929,Listeria_monocytogenes,test
NC_028930,Paenibacillus_larvae,test
NC_028931,Pseudomonas_aeruginosa,test
NC_028932,Mycolicibacterium_smegmatis,test
NC_028933,Pseudomonas_aeruginosa,test
NC_028934,Mycolicibacterium_smegmatis,test
NC_028935,Escherichia_coli,test
NC_028936,Mycolicibacterium_smegmatis,test
NC_028937,Mycolicibacterium_smegmatis,test
NC_028941,Mycolicibacterium_smegmatis,test
NC_028943,Escherichia_coli,test
NC_028944,Bacillus_thuringiensis,test
NC_028945,Sinorhizobium_meliloti,test
NC_028946,Mycolicibacterium_smegmatis,test
NC_028947,Mycolicibacterium_smegmatis,test
NC_028951,Clostridioides_difficile,test
NC_028952,Streptomyces_flavovirens,test
NC_028953,Mycolicibacterium_smegmatis,test
NC_028954,Rhodobacter_capsulatus,test
NC_028956,Mannheimia_haemolytica,test
NC_028957,Escherichia_coli,test
NC_028958,Clostridioides_difficile,test
NC_028959,Clostridioides_difficile,test
NC_028960,Mycolicibacterium_smegmatis,test
NC_028961,Mycolicibacterium_smegmatis,test
NC_028965,Mycolicibacterium_smegmatis,test
NC_028967,Cutibacterium_acnes,test
NC_028968,Mycolicibacterium_smegmatis,test
NC_028969,Brevibacillus_laterosporus,test
NC_028974,Streptomyces_griseus,test
NC_028976,Streptomyces_griseus,test
NC_028977,Klebsiella_pneumoniae,test
NC_028978,Mycolicibacterium_smegmatis,test
NC_028979,Mycolicibacterium_smegmatis,test
NC_028980,Pseudomonas_aeruginosa,test
NC_028982,Bacillus_cereus,test
NC_028983,Bacillus_cereus,test
NC_028984,Streptococcus_mutans,test
NC_028986,Mycolicibacterium_smegmatis,test
NC_028987,Acinetobacter_baumannii,test
NC_028988,Ralstonia_solanacearum,test
NC_028990,Enterococcus_faecalis,test
NC_028991,Clostridium_tetani,test
NC_028995,Acinetobacter_soli,test
NC_028997,Escherichia_coli,test
NC_028999,Pseudomonas_aeruginosa,test
NC_029002,Microcystis_aeruginosa,test
NC_029003,Salmonella_enterica,test
NC_029004,Clostridium_tetani,test
NC_029005,Streptomyces_avermitilis,test
NC_029006,Clostridium_tetani,test
NC_029007,Ralstonia_solanacearum,test
NC_029008,Bacillus_thuringiensis,test
NC_029009,Enterococcus_faecalis,test
NC_029010,Staphylococcus_aureus,test
NC_029012,Parabacteroides_distasonis,test
NC_029013,Citrobacter_freundii,test
NC_029014,Parabacteroides_merdae,test
NC_029015,Salmonella_enterica,test
NC_029016,Enterococcus_faecalis,test
NC_029017,Pseudomonas_aeruginosa,test
NC_029018,Mycolicibacterium_smegmatis,test
NC_029021,Escherichia_coli,test
NC_029022,Clostridium_tetani,test
NC_029024,Bacillus_cereus,test
NC_029025,Staphylococcus_haemolyticus,test
NC_029026,Enterococcus_faecalis,test
NC_029028,Escherichia_coli,test
NC_029029,Brevibacillus_laterosporus,test
NC_029030,Streptococcus_mutans,test
NC_029033,Achromobacter_xylosoxidans,test
NC_029042,Salmonella_enterica,test
NC_029043,Mycolicibacterium_smegmatis,test
NC_029045,Salmonella_enterica,test
NC_029048,Clostridioides_difficile,test
NC_029057,Vibrio_parahaemolyticus,test
NC_029058,Limosilactobacillus_fermentum,test
NC_029059,Mycolicibacterium_smegmatis,test
NC_029061,Rhodoferax_lacus,test
NC_029068,Limosilactobacillus_fermentum,test
NC_029071,Salmonella_enterica,test
NC_029075,Achromobacter_xylosoxidans,test
NC_029078,Erysipelothrix_rhusiopathiae,test
NC_029081,Pectobacterium_atrosepticum,test
NC_029084,Paenibacillus_larvae,test
NC_029093,Mycolicibacterium_smegmatis,test
NC_029094,Pseudoalteromonas_marina,test
NC_029097,Rhodobacter_capsulatus,test
NC_029098,Streptomyces_lividans,test
NC_029101,Pseudomonas_aeruginosa,test
NC_029102,Enterobacter_cloacae,test
NC_029104,Brevibacillus_laterosporus,test
NC_029106,Achromobacter_xylosoxidans,test
NC_029107,Ralstonia_solanacearum,test
NC_029116,Clostridioides_difficile,test
NC_029118,Lactococcus_garvieae,test
NC_029119,Staphylococcus_epidermidis,test
NC_029120,Shigella_sonnei,test
NC_029121,Bacillus_pumilus,test
NC_029548,Pyrobaculum_arsenaticum,test
NC_030694,Gordonia_terrae,test
NC_030695,Gordonia_terrae,test
NC_030696,Gordonia_terrae,test
NC_030698,Gordonia_terrae,test
NC_030848,Haloarcula_californiae,test
NC_030884,Sulfolobus_islandicus,test
NC_030901,Gordonia_terrae,test
NC_030902,Gordonia_malaquae,test
NC_030904,Sutcliffiella_halmapala,test
NC_030905,Gordonia_terrae,test
NC_030906,Gordonia_malaquae,test
NC_030907,Gordonia_malaquae,test
NC_030908,Pseudomonas_aeruginosa,test
NC_030911,Gordonia_terrae,test
NC_030912,Gordonia_neofelifaecis,test
NC_030913,Gordonia_terrae,test
NC_030914,Gordonia_terrae,test
NC_030915,Gordonia_terrae,test
NC_030916,Tsukamurella_paurometabola,test
NC_030917,Gordonia_terrae,test
NC_030918,Pseudomonas_aeruginosa,test
NC_030919,Salmonella_enterica,test
NC_030920,Priestia_megaterium,test
NC_030923,Pseudomonas_putida,test
NC_030924,Gordonia_terrae,test
NC_030927,Gordonia_terrae,test
NC_030928,Xanthomonas_arboricola,test
NC_030929,Pseudomonas_aeruginosa,test
NC_030930,Gordonia_terrae,test
NC_030931,Pseudomonas_aeruginosa,test
NC_030932,Gordonia_sputi,test
NC_030934,Pseudomonas_syringae,test
NC_030935,Gordonia_rubripertincta,test
NC_030936,Gordonia_terrae,test
NC_030937,Xanthomonas_arboricola,test
NC_030939,Gordonia_malaquae,test
NC_030940,Pseudomonas_aeruginosa,test
NC_030941,Gordonia_terrae,test
NC_030942,Gordonia_terrae,test
NC_030943,Gordonia_terrae,test
NC_030944,Gordonia_terrae,test
NC_030945,Alkalihalobacillus_alcalophilus,test
NC_030946,Streptococcus_pneumoniae,test
NC_030947,Clostridium_tetani,test
NC_030949,Clostridium_tetani,test
NC_030950,Clostridium_tetani,test
NC_030951,Clostridium_tetani,test
NC_030953,Shigella_sonnei,test
NC_031001,Gordonia_terrae,test
NC_031002,Lactococcus_lactis,test
NC_031003,Cutibacterium_acnes,test
NC_031004,Gordonia_terrae,test
NC_031005,Cutibacterium_acnes,test
NC_031006,Bacillus_thuringiensis,test
NC_031007,Erwinia_amylovora,test
NC_031008,Staphylococcus_aureus,test
NC_031009,Lactococcus_lactis,test
NC_031010,Erwinia_amylovora,test
NC_031011,Shigella_sonnei,test
NC_031012,Bacillus_thuringiensis,test
NC_031013,Lactococcus_lactis,test
NC_031014,Pseudomonas_syringae,test
NC_031015,Bacillus_thuringiensis,test
NC_031016,Lactococcus_garvieae,test
NC_031017,Lactococcus_lactis,test
NC_031018,Citrobacter_freundii,test
NC_031019,Salmonella_enterica,test
NC_031021,Salmonella_enterica,test
NC_031022,Shigella_sonnei,test
NC_031023,Streptococcus_thermophilus,test
NC_031024,Bacillus_thuringiensis,test
NC_031025,Klebsiella_pneumoniae,test
NC_031026,Salmonella_enterica,test
NC_031027,Bacillus_thuringiensis,test
NC_031028,Gordonia_terrae,test
NC_031029,Gordonia_terrae,test
NC_031031,Gordonia_terrae,test
NC_031035,Mycolicibacterium_smegmatis,test
NC_031036,Lacticaseibacillus_casei,test
NC_031037,Bacillus_thuringiensis,test
NC_031039,Bacillus_subtilis,test
NC_031041,Mycolicibacterium_smegmatis,test
NC_031042,Salmonella_enterica,test
NC_031043,Erwinia_amylovora,test
NC_031044,Lactococcus_lactis,test
NC_031045,Salmonella_enterica,test
NC_031046,Staphylococcus_aureus,test
NC_031047,Escherichia_coli,test
NC_031049,Bacillus_thuringiensis,test
NC_031050,Escherichia_coli,test
NC_031051,Enterococcus_faecalis,test
NC_031052,Gordonia_terrae,test
NC_031053,Klebsiella_pneumoniae,test
NC_031054,Bacillus_thuringiensis,test
NC_031055,Bacillus_cereus,test
NC_031056,Bacillus_cereus,test
NC_031060,Gordonia_terrae,test
NC_031061,Gordonia_terrae,test
NC_031064,Lactococcus_lactis,test
NC_031065,Salmonella_enterica,test
NC_031066,Citrobacter_freundii,test
NC_031067,Mycolicibacterium_smegmatis,test
NC_031068,Pectobacterium_carotovorum,test
NC_031069,Streptococcus_thermophilus,test
NC_031070,Bacillus_thuringiensis,test
NC_031071,Lactococcus_lactis,test
NC_031072,Gordonia_terrae,test
NC_031074,Gordonia_terrae,test
NC_031075,Lactococcus_lactis,test
NC_031076,Propionibacterium_freudenreichii,test
NC_031078,Streptomyces_griseus,test
NC_031080,Mycolicibacterium_smegmatis,test
NC_031081,Escherichia_coli,test
NC_031082,Escherichia_coli,test
NC_031084,Cutibacterium_acnes,test
NC_031086,Acinetobacter_baumannii,test
NC_031087,Klebsiella_pneumoniae,test
NC_031091,Pseudomonas_aeruginosa,test
NC_031092,Citrobacter_freundii,test
NC_031094,Streptococcus_thermophilus,test
NC_031095,Klebsiella_oxytoca,test
NC_031096,Pectobacterium_atrosepticum,test
NC_031097,Gordonia_terrae,test
NC_031098,Acinetobacter_baumannii,test
NC_031099,Gordonia_terrae,test
NC_031100,Bacillus_thuringiensis,test
NC_031102,Mycolicibacterium_smegmatis,test
NC_031104,Pseudomonas_aeruginosa,test
NC_031107,Erwinia_amylovora,test
NC_031108,Propionibacterium_freudenreichii,test
NC_031109,Gordonia_terrae,test
NC_031112,Gordonia_terrae,test
NC_031113,Escherichia_coli,test
